ra,dec,z
50.907931201466,0.991258724475301,0.0222007
123.743041475178,1.00639863332928,0.0904626
196.609013966345,0.316820639427784,0.09049945
208.377959137958,-1.05053958944651,0.02337503
208.383220933069,-1.19443320164489,0.02373103
223.599511185508,-1.12985939023181,0.02314522
247.126564822397,-1.05316645246116,0.0227506
191.330192628836,-0.760445599685824,0.02297334
194.313130312622,-0.657644721490122,0.02310778
200.564630551555,-0.63188921162958,0.02321945
204.96445652791,-0.75307927005417,0.02227835
188.536875904246,-0.355292184198187,0.02250151
188.931808117352,-0.223804417694058,0.02313283
189.057837562716,-0.27632498109001,0.02252786
189.067105105869,-0.386219148614381,0.09036843
196.310971758879,-0.373294920001294,0.02268739
204.956250994211,-0.33026305112496,0.02243455
205.358733783026,-0.41230645983013,0.09041515
205.617587240521,-0.293877913521443,0.0904146
187.113033372633,0.142407915556299,0.0229938
188.759164863544,0.0376443103797407,0.02279919
189.968744456344,0.125485316929305,0.02283781
193.522406027376,0.175310184545937,0.0227484
204.526891313838,0.020511737840575,0.02233166
206.200502464658,0.212548648118814,0.09048805
208.101266946279,0.0887838845408067,0.02351624
221.836708738717,0.0107522973568411,0.02337876
222.8475735599,0.00707960583336023,0.02316491
236.398846009104,0.157552113384716,0.09041245
248.991496753118,0.0269450383987,0.02378366
249.949114305417,0.152520842284771,0.09046733
187.279006240147,0.581084201071461,0.02322227
187.784877284091,0.613706220833637,0.02308306
187.796026412735,0.606226471377963,0.02308712
187.71668446412,0.527231891102981,0.02326956
187.748080951529,0.54209697305414,0.02379078
187.937531118948,0.511878436384592,0.02255391
187.939818192627,0.452582187907367,0.02241663
188.107046160664,0.457113981683679,0.02308414
189.653217982891,0.624506180737894,0.0224256
189.843489570453,0.460233331234409,0.02358647
195.019695674291,0.452967966801581,0.02230952
225.959541716547,0.565469211783603,0.02251297
247.974146986976,0.473694595629595,0.09045754
187.653033449244,0.846251530456035,0.02298159
187.921812178839,0.959248946723593,0.02322375
190.223473298737,1.00835660383573,0.02290753
190.239102396804,0.987226260784765,0.02312812
205.239693212086,0.926121229132518,0.02373547
148.269459631154,-0.856689938524943,0.09042946
148.97968953326,-0.937083402431044,0.09047463
166.58265786879,-1.01659412464285,0.09044667
167.719093964383,-1.0305119288834,0.09037574
182.007656093238,-0.968330049935549,0.02377901
193.903722781126,-0.88380514943893,0.02267708
196.345124154341,-0.927072992382069,0.02271997
196.506465297889,-0.997770282956913,0.02265377
230.00532359792,-0.956966824039145,0.09046883
159.797841557464,-0.557196465638875,0.02335118
170.750583606229,-0.615431427904357,0.02377577
174.10003968135,-0.496824070797372,0.02222205
197.903351383236,-0.483104549888074,0.09048326
144.050874771423,-0.0122912108787816,0.09040929
153.496121934502,-0.081581071761015,0.09037467
168.321263882359,-0.0903293848626441,0.09044226
186.854279557387,-0.0439527856973665,0.02330861
187.47655590926,-0.0553422355655104,0.02315128
188.834204857048,-0.178475935388655,0.0234992
188.911187725216,-0.206013269537588,0.02279582
227.028601582715,-0.158526771162903,0.09037361
227.677551258209,-0.0206165671518189,0.09046254
227.877264895945,-0.104037514394179,0.09036797
143.517178848335,0.383522667338003,0.02343191
145.576843430539,0.233666443498186,0.09049731
186.560171204256,0.267209674582774,0.02264536
187.421021321033,0.253430551913542,0.02306678
187.657572658159,0.343912451515125,0.02242503
187.840216955405,0.23980049724322,0.02327658
188.687521300353,0.36660394966997,0.0226011
189.693647066863,0.322531069446184,0.02280918
189.700595152365,0.270026803502946,0.02273661
189.754670504962,0.3655465085504,0.02301519
189.773386327063,0.282918722782487,0.02355277
187.705818181054,0.745081762833292,0.02286855
199.928581418655,0.743025747238656,0.0238205
202.307692797488,0.728526974066154,0.02255641
202.303916216178,0.731083283418798,0.02272183
208.996210286094,0.754157390390446,0.0237703
156.872894093013,1.24672624630132,0.02238173
157.120617358163,1.24986386241418,0.02231555
169.771188929098,1.25221511564507,0.02286034
170.106717110514,1.06683832041064,0.02303798
187.340162523371,1.05695098994544,0.02318845
192.877543688954,1.19513732039123,0.02323688
21.8549944775824,14.0545425557058,0.02361389
22.4548459784522,13.9906517243564,0.02325196
23.7744359935353,14.0033137321574,0.02355934
24.0979399687811,13.9504443152167,0.02385498
24.0470128499974,13.9701139556687,0.02363942
24.0632324246195,13.9452936688703,0.02385947
24.7859491365493,13.7351136881611,0.02247175
24.7863864887447,13.7333175510338,0.02266857
20.9182076698884,14.6103174100293,0.02276226
29.647813613396,13.7731584848004,0.02253249
19.6910528996845,14.9932483833315,0.02292254
19.6937111032721,14.9896631863405,0.02275086
22.7008347183231,14.7305142178891,0.02316882
45.7117265081629,-8.5856177262305,0.09044943
48.5905243489666,-7.73071420027269,0.02314364
48.5891758026924,-7.73107554560502,0.02298388
55.3225899958293,-6.55550657715106,0.02227142
189.776115969669,-2.5082052337062,0.02324519
192.983465606832,-2.0775596563939,0.0228804
193.093287321565,-2.22580975164167,0.02301991
188.437004995081,-1.78770240756006,0.0230451
188.978070929046,-1.85386089219029,0.0229517
189.43270169348,-1.78695053015294,0.02305274
188.491862514385,-1.39107633500918,0.02307595
195.204824548589,-1.36011422147531,0.02274616
195.227084172304,-1.34664939063867,0.0227401
179.51073700949,-3.62383954141422,0.09039221
188.995586337183,-3.56287269655649,0.02343484
193.521939644261,-3.59122792445037,0.02279092
173.10257332613,-3.26801589528576,0.02287189
177.893114882061,-3.13671280670942,0.09040831
199.959463780004,-3.09078775649345,0.0225789
178.495745791227,-2.79200750971398,0.09038326
188.554789749723,-2.35890191205721,0.0229805
188.97863687051,-2.385849083134,0.02288939
189.191176861871,-2.32745096620813,0.0235806
189.771323013454,-2.4835591985727,0.02298732
192.998035266995,-2.04095934184635,0.02289673
173.180428232709,-1.43302119598608,0.02251607
173.538805302286,-1.59512129681188,0.02256087
142.186649844803,-0.320983960876586,0.02321181
142.342735220327,-0.374190225782974,0.02363812
143.958405592183,-0.284767160651056,0.09036442
140.286255499325,0.0805826940984368,0.02351408
143.68427039239,0.0742193985329331,0.09048052
144.329477305493,0.0389409506162375,0.09037521
140.192421826881,0.604718176430639,0.02378279
157.712801372637,63.5577901481385,0.02285639
132.546312148147,51.579867219445,0.09039282
133.764464255758,52.2890810575987,0.09039607
135.108025388702,53.0274295113729,0.09037076
122.364196386827,43.9355655120331,0.02316594
122.363460255485,43.9349255633769,0.02296313
124.120590854336,45.6377536978573,0.02262215
121.835374796019,44.3902486708798,0.02273636
127.679390930272,49.3683686376909,0.02379743
127.67572808445,49.367829548547,0.02381206
121.521778336547,44.6201810138318,0.02271361
124.826298979557,47.7374615595732,0.09037878
126.445336334749,49.5734696881742,0.02375788
126.446730796126,49.5751581125139,0.02358346
138.694391300454,57.2200135316142,0.09038468
256.624208051619,58.2319838083602,0.02246599
256.17124926379,62.0346412002813,0.02323644
256.847650137701,61.4410797076422,0.02339197
255.593429378222,61.1665472588085,0.02336253
152.826491846936,60.0126032727486,0.02216717
123.197894845971,44.3573769111297,0.02304917
127.330328837731,48.8495557720007,0.02352698
127.388379834675,48.7945133241836,0.02346306
127.459651784954,48.7810146814183,0.02357728
154.113570216062,61.4640966146277,0.02380821
159.261315627635,62.5254364765356,0.02356976
216.723956985907,61.1943781696186,0.02233529
220.417721315249,60.1707341090908,0.02343795
122.784067490813,45.4569307888881,0.02334544
122.791064004838,45.6635638735726,0.02291932
122.793533685303,45.666465235179,0.02310006
122.79676589839,45.6620933101453,0.02282005
